School_Year,Semester,Course,total_enrollees,Year_Level,Enrollees_Count,Start_Year,Department,Semester_Order,Lag_1_Enrollees,Rolling_Mean_3,Rolling_Std_3,Growth_Rate,Year_Semester_Interaction,Time_Index,Enrollment_Trend,Dept_Enrollment_Ratio,Semester_Sin,Semester_Cos,ARIMA_Residual,Actual_Enrollment
2020-2021,1st,BSBA-MARKETING_MANAGEMENT,184,2nd_year,47,2020,BA,1,13.0,38.0,21.931712199461302,1.0,2020,5,-3.325274725274725,0.12771739130431312,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSBA-MARKETING_MANAGEMENT,184,3rd_year,45,2020,BA,1,80.0,62.666666666666664,17.502380790433435,-0.4375,2020,5,-3.008791208791208,0.12228260869561895,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSBA-MARKETING_MANAGEMENT,184,4th_year,57,2020,BA,1,103.0,76.0,24.020824298928623,-0.44660194174757284,2020,5,-3.353846153846154,0.154891304347784,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSCS,41,1st_year,18,2020,CS,1,15.0,16.666666666666668,1.5275252316519405,0.19999999999999996,2020,5,-0.5120879120879123,0.43902439024283163,1.2246467991473532e-16,-1.0,1.2762225131479,18.0
2020-2021,1st,BSCS,41,2nd_year,10,2020,CS,1,4.0,11.333333333333334,8.082903768654761,1.0,2020,5,-0.1142857142857144,0.24390243902379535,1.2246467991473532e-16,-1.0,0.6806706181340658,10.0
2020-2021,1st,BSCS,41,3rd_year,4,2020,CS,1,8.0,5.666666666666667,2.081665999466132,-0.5,2020,5,0.9142857142857144,0.09756097560951814,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSCS,41,4th_year,9,2020,CS,1,8.0,6.333333333333333,3.785938897200183,0.125,2020,5,2.050549450549451,0.21951219512141582,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSIT,252,1st_year,56,2020,IT,1,72.0,92.66666666666667,50.29247790011279,-0.2222222222222222,2020,5,-7.7120879120879176,0.22222222222213406,1.2246467991473532e-16,-1.0,-61.343580536947854,56.0
2020-2021,1st,BSIT,252,2nd_year,59,2020,IT,1,38.0,48.0,10.535653752852749,0.5526315789473684,2020,5,-3.461538461538462,0.23412698412689123,1.2246467991473532e-16,-1.0,10.26806066826817,59.0
2020-2021,1st,BSIT,252,3rd_year,55,2020,IT,1,88.0,73.66666666666667,16.921386861996073,-0.375,2020,5,-2.167032967032967,0.21825396825388166,1.2246467991473532e-16,-1.0,0.0,
2020-2021,1st,BSIT,252,4th_year,82,2020,IT,1,109.0,95.66666666666667,13.503086067019403,-0.24770642201834858,2020,5,-2.5340659340659353,0.3253968253966963,1.2246467991473532e-16,-1.0,0.0,
2020-2021,2nd,BSBA-FINANCIAL_MANAGEMENT,201,1st_year,26,2020,BA,2,29.0,36.0,14.798648586948731,-0.10344827586206895,4040,6,-6.303296703296706,0.06565656565654908,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-FINANCIAL_MANAGEMENT,201,2nd_year,51,2020,BA,2,52.0,39.0,21.65640782770771,-0.019230769230769273,4040,6,-3.0791208791208793,0.12878787878784628,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-FINANCIAL_MANAGEMENT,201,3rd_year,56,2020,BA,2,41.0,77.66666666666667,51.07184482014855,0.36585365853658547,4040,6,-3.773626373626375,0.14141414141410572,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-FINANCIAL_MANAGEMENT,201,4th_year,68,2020,BA,2,62.0,67.0,4.582575694955826,0.09677419354838701,4040,6,-2.0945054945054946,0.17171717171712836,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-MARKETING_MANAGEMENT,195,1st_year,31,2020,BA,2,35.0,42.666666666666664,16.86218649325565,-0.11428571428571432,4040,6,-6.153846153846151,0.07828282828280851,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-MARKETING_MANAGEMENT,195,2nd_year,47,2020,BA,2,47.0,35.666666666666664,19.62990915244727,0.0,4040,6,-3.325274725274725,0.11868686868683873,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-MARKETING_MANAGEMENT,195,3rd_year,52,2020,BA,2,45.0,59.0,18.520259177452136,0.15555555555555545,4040,6,-3.008791208791208,0.13131313131309816,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSBA-MARKETING_MANAGEMENT,195,4th_year,65,2020,BA,2,57.0,75.0,24.576411454889012,0.14035087719298245,4040,6,-3.353846153846154,0.1641414141413727,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSCS,40,1st_year,13,2020,CS,2,18.0,15.333333333333334,2.5166114784235796,-0.2777777777777778,4040,6,-0.5120879120879123,0.3249999999991875,-2.4492935982947064e-16,1.0,-4.629971024610811,13.0
2020-2021,2nd,BSCS,40,2nd_year,12,2020,CS,2,10.0,8.666666666666666,4.163331998932265,0.19999999999999996,4040,6,-0.1142857142857144,0.29999999999925,-2.4492935982947064e-16,1.0,1.5917006331685464,12.0
2020-2021,2nd,BSCS,40,3rd_year,5,2020,CS,2,4.0,5.666666666666667,2.081665999466132,0.25,4040,6,0.9142857142857144,0.1249999999996875,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSCS,40,4th_year,10,2020,CS,2,9.0,9.0,1.0000000000000018,0.11111111111111116,4040,6,2.050549450549451,0.249999999999375,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSIT,206,1st_year,46,2020,IT,2,56.0,58.0,13.114877048604018,-0.1785714285714286,4040,6,-7.7120879120879176,0.22330097087367803,-2.4492935982947064e-16,1.0,-52.22583809830272,46.0
2020-2021,2nd,BSIT,206,2nd_year,56,2020,IT,2,59.0,51.0,11.357816691600558,-0.05084745762711862,4040,6,-3.461538461538462,0.2718446601940428,-2.4492935982947064e-16,1.0,-0.6740785542917536,56.0
2020-2021,2nd,BSIT,206,3rd_year,37,2020,IT,2,55.0,60.0,25.865034312755125,-0.32727272727272727,4040,6,-2.167032967032967,0.17961165048534972,-2.4492935982947064e-16,1.0,0.0,
2020-2021,2nd,BSIT,206,4th_year,67,2020,IT,2,82.0,86.0,21.283796653792766,-0.18292682926829273,4040,6,-2.5340659340659353,0.3252427184464441,-2.4492935982947064e-16,1.0,0.0,
2021-2022,1st,BSBA-FINANCIAL_MANAGEMENT,195,1st_year,88,2021,BA,1,26.0,47.666666666666664,34.96188400720609,1.0,2021,7,-6.303296703296706,0.22506393861886828,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-FINANCIAL_MANAGEMENT,195,2nd_year,22,2021,BA,1,51.0,41.666666666666664,17.039170558842738,-0.5686274509803921,2021,7,-3.0791208791208793,0.05626598465471707,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-FINANCIAL_MANAGEMENT,195,3rd_year,31,2021,BA,1,56.0,42.666666666666664,12.583057392117956,-0.4464285714285714,2021,7,-3.773626373626375,0.07928388746801042,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-FINANCIAL_MANAGEMENT,195,4th_year,54,2021,BA,1,68.0,61.333333333333336,7.023769168568484,-0.20588235294117652,2021,7,-2.0945054945054946,0.13810741687976008,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-MARKETING_MANAGEMENT,196,1st_year,87,2021,BA,1,31.0,51.0,31.240998703626612,1.0,2021,7,-6.153846153846151,0.22250639386183568,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-MARKETING_MANAGEMENT,196,2nd_year,29,2021,BA,1,47.0,41.0,10.392304845413257,-0.3829787234042553,2021,7,-3.325274725274725,0.07416879795394522,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-MARKETING_MANAGEMENT,196,3rd_year,22,2021,BA,1,52.0,39.666666666666664,15.69500982265807,-0.5769230769230769,2021,7,-3.008791208791208,0.05626598465471707,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSBA-MARKETING_MANAGEMENT,196,4th_year,58,2021,BA,1,65.0,60.0,4.358898943540647,-0.10769230769230764,2021,7,-3.353846153846154,0.14833759590789045,1.2246467991473532e-16,-1.0,0.0,
2021-2022,1st,BSCS,50,1st_year,37,2021,CS,1,13.0,22.666666666666668,12.662279942148384,1.0,2021,7,-0.5120879120879123,0.73999999999852,1.2246467991473532e-16,-1.0,21.202663975664837,37.0
2021-2022,1st,BSCS,50,2nd_year,7,2021,CS,1,12.0,9.666666666666666,2.5166114784235813,-0.41666666666666663,2021,7,-0.1142857142857144,0.13999999999972,1.2246467991473532e-16,-1.0,-3.9785318523837,7.0
2021-2022,1st,BSCS,50,3rd_year,3,2021,CS,1,5.0,4.0,0.9999999999999987,-0.4,2021,7,0.9142857142857144,0.05999999999988,1.2246467991473532e-16,-1.0,0.0,
